Año,Universidad,Area de Conocimiento,Tipo,Valor
2014,UNA,Ciencias de la Salud,Matriculados,4774
2014,UNE,Ciencias de la Salud,Matriculados,711
2014,UNI,Ciencias de la Salud,Matriculados,210
2014,UNP,Ciencias de la Salud,Matriculados,145
2014,UNC,Ciencias de la Salud,Matriculados,402
2014,UNVES,Ciencias de la Salud,Matriculados,574
2014,UNCA,Ciencias de la Salud,Matriculados,620
2014,UNICAN,Ciencias de la Salud,Matriculados,31
2014,UNAMIS,Ciencias de la Salud,Matriculados,0
2014,UPTP,Ciencias de la Salud,Matriculados,0
2015,UNA,Ciencias de la Salud,Matriculados,5867
2015,UNE,Ciencias de la Salud,Matriculados,903
2015,UNI,Ciencias de la Salud,Matriculados,258
2015,UNP,Ciencias de la Salud,Matriculados,196
2015,UNC,Ciencias de la Salud,Matriculados,896
2015,UNVES,Ciencias de la Salud,Matriculados,830
2015,UNCA,Ciencias de la Salud,Matriculados,988
2015,UNICAN,Ciencias de la Salud,Matriculados,205
2015,UNAMIS,Ciencias de la Salud,Matriculados,0
2015,UPTP,Ciencias de la Salud,Matriculados,0
2016,UNA,Ciencias de la Salud,Matriculados,4300
2016,UNE,Ciencias de la Salud,Matriculados,682
2016,UNI,Ciencias de la Salud,Matriculados,240
2016,UNP,Ciencias de la Salud,Matriculados,359
2016,UNC,Ciencias de la Salud,Matriculados,390
2016,UNVES,Ciencias de la Salud,Matriculados,450
2016,UNCA,Ciencias de la Salud,Matriculados,573
2016,UNICAN,Ciencias de la Salud,Matriculados,114
2016,UNAMIS,Ciencias de la Salud,Matriculados,3
2016,UPTP,Ciencias de la Salud,Matriculados,0
2017,UNA,Ciencias de la Salud,Matriculados,10999
2017,UNE,Ciencias de la Salud,Matriculados,1849
2017,UNI,Ciencias de la Salud,Matriculados,1545
2017,UNP,Ciencias de la Salud,Matriculados,1109
2017,UNC,Ciencias de la Salud,Matriculados,329
2017,UNVES,Ciencias de la Salud,Matriculados,694
2017,UNCA,Ciencias de la Salud,Matriculados,1012
2017,UNICAN,Ciencias de la Salud,Matriculados,434
2017,UNAMIS,Ciencias de la Salud,Matriculados,0
2017,UPTP,Ciencias de la Salud,Matriculados,0
2018,UNA,Ciencias de la Salud,Matriculados,5867
2018,UNE,Ciencias de la Salud,Matriculados,903
2018,UNI,Ciencias de la Salud,Matriculados,258
2018,UNP,Ciencias de la Salud,Matriculados,196
2018,UNC,Ciencias de la Salud,Matriculados,896
2018,UNVES,Ciencias de la Salud,Matriculados,830
2018,UNCA,Ciencias de la Salud,Matriculados,988
2018,UNICAN,Ciencias de la Salud,Matriculados,205
2018,UNAMIS,Ciencias de la Salud,Matriculados,0
2018,UPTP,Ciencias de la Salud,Matriculados,0
2019,UNA,Ciencias de la Salud,Matriculados,5717
2019,UNE,Ciencias de la Salud,Matriculados,854
2019,UNI,Ciencias de la Salud,Matriculados,254
2019,UNP,Ciencias de la Salud,Matriculados,173
2019,UNC,Ciencias de la Salud,Matriculados,867
2019,UNVES,Ciencias de la Salud,Matriculados,768
2019,UNCA,Ciencias de la Salud,Matriculados,928
2019,UNICAN,Ciencias de la Salud,Matriculados,163
2019,UNAMIS,Ciencias de la Salud,Matriculados,0
2019,UPTP,Ciencias de la Salud,Matriculados,0
2020,UNA,Ciencias de la Salud,Matriculados,5803
2020,UNE,Ciencias de la Salud,Matriculados,854
2020,UNI,Ciencias de la Salud,Matriculados,254
2020,UNP,Ciencias de la Salud,Matriculados,173
2020,UNC,Ciencias de la Salud,Matriculados,867
2020,UNVES,Ciencias de la Salud,Matriculados,771
2020,UNCA,Ciencias de la Salud,Matriculados,998
2020,UNICAN,Ciencias de la Salud,Matriculados,177
2020,UNAMIS,Ciencias de la Salud,Matriculados,0
2020,UPTP,Ciencias de la Salud,Matriculados,0
2021,UNA,Ciencias de la Salud,Matriculados,3441
2021,UNE,Ciencias de la Salud,Matriculados,387
2021,UNI,Ciencias de la Salud,Matriculados,289
2021,UNP,Ciencias de la Salud,Matriculados,215
2021,UNC,Ciencias de la Salud,Matriculados,1345
2021,UNVES,Ciencias de la Salud,Matriculados,377
2021,UNCA,Ciencias de la Salud,Matriculados,734
2021,UNICAN,Ciencias de la Salud,Matriculados,155
2021,UNAMIS,Ciencias de la Salud,Matriculados,0
2021,UPTP,Ciencias de la Salud,Matriculados,0
2022,UNA,Ciencias de la Salud,Matriculados,20893
2022,UNE,Ciencias de la Salud,Matriculados,2508
2022,UNI,Ciencias de la Salud,Matriculados,2083
2022,UNP,Ciencias de la Salud,Matriculados,3023
2022,UNC,Ciencias de la Salud,Matriculados,2593
2022,UNVES,Ciencias de la Salud,Matriculados,3125
2022,UNCA,Ciencias de la Salud,Matriculados,3007
2022,UNICAN,Ciencias de la Salud,Matriculados,2883
2022,UNAMIS,Ciencias de la Salud,Matriculados,0
2022,UPTP,Ciencias de la Salud,Matriculados,0
2023,UNA,Ciencias de la Salud,Matriculados,12039
2023,UNE,Ciencias de la Salud,Matriculados,1884
2023,UNI,Ciencias de la Salud,Matriculados,2012
2023,UNP,Ciencias de la Salud,Matriculados,3013
2023,UNC,Ciencias de la Salud,Matriculados,1595
2023,UNVES,Ciencias de la Salud,Matriculados,3024
2023,UNCA,Ciencias de la Salud,Matriculados,1871
2023,UNICAN,Ciencias de la Salud,Matriculados,1050
2023,UNAMIS,Ciencias de la Salud,Matriculados,1637
2023,UPTP,Ciencias de la Salud,Matriculados,0
2024,UNA,Ciencias de la Salud,Matriculados,3535
2024,UNE,Ciencias de la Salud,Matriculados,396
2024,UNI,Ciencias de la Salud,Matriculados,294
2024,UNP,Ciencias de la Salud,Matriculados,356
2024,UNC,Ciencias de la Salud,Matriculados,260
2024,UNVES,Ciencias de la Salud,Matriculados,450
2024,UNCA,Ciencias de la Salud,Matriculados,570
2024,UNICAN,Ciencias de la Salud,Matriculados,114
2024,UNAMIS,Ciencias de la Salud,Matriculados,0
2024,UPTP,Ciencias de la Salud,Matriculados,0
2014,UNA,Ciencias Sociales y Humanidades,Matriculados,30447
2014,UNE,Ciencias Sociales y Humanidades,Matriculados,4845
2014,UNI,Ciencias Sociales y Humanidades,Matriculados,2185
2014,UNP,Ciencias Sociales y Humanidades,Matriculados,2111
2014,UNC,Ciencias Sociales y Humanidades,Matriculados,963
2014,UNVES,Ciencias Sociales y Humanidades,Matriculados,3434
2014,UNCA,Ciencias Sociales y Humanidades,Matriculados,800
2014,UNICAN,Ciencias Sociales y Humanidades,Matriculados,758
2014,UNAMIS,Ciencias Sociales y Humanidades,Matriculados,0
2014,UPTP,Ciencias Sociales y Humanidades,Matriculados,0
2015,UNA,Ciencias Sociales y Humanidades,Matriculados,33682
2015,UNE,Ciencias Sociales y Humanidades,Matriculados,4881
2015,UNI,Ciencias Sociales y Humanidades,Matriculados,2508
2015,UNP,Ciencias Sociales y Humanidades,Matriculados,2592
2015,UNC,Ciencias Sociales y Humanidades,Matriculados,1144
2015,UNVES,Ciencias Sociales y Humanidades,Matriculados,3979
2015,UNCA,Ciencias Sociales y Humanidades,Matriculados,871
2015,UNICAN,Ciencias Sociales y Humanidades,Matriculados,913
2015,UNAMIS,Ciencias Sociales y Humanidades,Matriculados,0
2015,UPTP,Ciencias Sociales y Humanidades,Matriculados,0
2016,UNA,Ciencias Sociales y Humanidades,Matriculados,36634
2016,UNE,Ciencias Sociales y Humanidades,Matriculados,9073
2016,UNI,Ciencias Sociales y Humanidades,Matriculados,3520
2016,UNP,Ciencias Sociales y Humanidades,Matriculados,3206
2016,UNC,Ciencias Sociales y Humanidades,Matriculados,2968
2016,UNVES,Ciencias Sociales y Humanidades,Matriculados,3254
2016,UNCA,Ciencias Sociales y Humanidades,Matriculados,823
2016,UNICAN,Ciencias Sociales y Humanidades,Matriculados,906
2016,UNAMIS,Ciencias Sociales y Humanidades,Matriculados,210
2016,UPTP,Ciencias Sociales y Humanidades,Matriculados,0
2017,UNA,Ciencias Sociales y Humanidades,Matriculados,15659
2017,UNE,Ciencias Sociales y Humanidades,Matriculados,3543
2017,UNI,Ciencias Sociales y Humanidades,Matriculados,5568
2017,UNP,Ciencias Sociales y Humanidades,Matriculados,3250
2017,UNC,Ciencias Sociales y Humanidades,Matriculados,1487
2017,UNVES,Ciencias Sociales y Humanidades,Matriculados,2768
2017,UNCA,Ciencias Sociales y Humanidades,Matriculados,2872
2017,UNICAN,Ciencias Sociales y Humanidades,Matriculados,1144
2017,UNAMIS,Ciencias Sociales y Humanidades,Matriculados,0
2017,UPTP,Ciencias Sociales y Humanidades,Matriculados,0
2018,UNA,Ciencias Sociales y Humanidades,Matriculados,33682
2018,UNE,Ciencias Sociales y Humanidades,Matriculados,4881
2018,UNI,Ciencias Sociales y Humanidades,Matriculados,2508
2018,UNP,Ciencias Sociales y Humanidades,Matriculados,2592
2018,UNC,Ciencias Sociales y Humanidades,Matriculados,1144
2018,UNVES,Ciencias Sociales y Humanidades,Matriculados,3979
2018,UNCA,Ciencias Sociales y Humanidades,Matriculados,871
2018,UNICAN,Ciencias Sociales y Humanidades,Matriculados,913
2018,UNAMIS,Ciencias Sociales y Humanidades,Matriculados,0
2018,UPTP,Ciencias Sociales y Humanidades,Matriculados,0
2019,UNA,Ciencias Sociales y Humanidades,Matriculados,32285
2019,UNE,Ciencias Sociales y Humanidades,Matriculados,4711
2019,UNI,Ciencias Sociales y Humanidades,Matriculados,2399
2019,UNP,Ciencias Sociales y Humanidades,Matriculados,2566
2019,UNC,Ciencias Sociales y Humanidades,Matriculados,1167
2019,UNVES,Ciencias Sociales y Humanidades,Matriculados,3733
2019,UNCA,Ciencias Sociales y Humanidades,Matriculados,861
2019,UNICAN,Ciencias Sociales y Humanidades,Matriculados,865
2019,UNAMIS,Ciencias Sociales y Humanidades,Matriculados,0
2019,UPTP,Ciencias Sociales y Humanidades,Matriculados,0
2020,UNA,Ciencias Sociales y Humanidades,Matriculados,32560
2020,UNE,Ciencias Sociales y Humanidades,Matriculados,4591
2020,UNI,Ciencias Sociales y Humanidades,Matriculados,2467
2020,UNP,Ciencias Sociales y Humanidades,Matriculados,2518
2020,UNC,Ciencias Sociales y Humanidades,Matriculados,1167
2020,UNVES,Ciencias Sociales y Humanidades,Matriculados,3833
2020,UNCA,Ciencias Sociales y Humanidades,Matriculados,894
2020,UNICAN,Ciencias Sociales y Humanidades,Matriculados,942
2020,UNAMIS,Ciencias Sociales y Humanidades,Matriculados,0
2020,UPTP,Ciencias Sociales y Humanidades,Matriculados,0
2021,UNA,Ciencias Sociales y Humanidades,Matriculados,23201
2021,UNE,Ciencias Sociales y Humanidades,Matriculados,4361
2021,UNI,Ciencias Sociales y Humanidades,Matriculados,2923
2021,UNP,Ciencias Sociales y Humanidades,Matriculados,2724
2021,UNC,Ciencias Sociales y Humanidades,Matriculados,1159
2021,UNVES,Ciencias Sociales y Humanidades,Matriculados,2201
2021,UNCA,Ciencias Sociales y Humanidades,Matriculados,996
2021,UNICAN,Ciencias Sociales y Humanidades,Matriculados,989
2021,UNAMIS,Ciencias Sociales y Humanidades,Matriculados,0
2021,UPTP,Ciencias Sociales y Humanidades,Matriculados,0
2022,UNA,Ciencias Sociales y Humanidades,Matriculados,18064
2022,UNE,Ciencias Sociales y Humanidades,Matriculados,7915
2022,UNI,Ciencias Sociales y Humanidades,Matriculados,2375
2022,UNP,Ciencias Sociales y Humanidades,Matriculados,2450
2022,UNC,Ciencias Sociales y Humanidades,Matriculados,2368
2022,UNVES,Ciencias Sociales y Humanidades,Matriculados,2876
2022,UNCA,Ciencias Sociales y Humanidades,Matriculados,2404
2022,UNICAN,Ciencias Sociales y Humanidades,Matriculados,2196
2022,UNAMIS,Ciencias Sociales y Humanidades,Matriculados,0
2022,UPTP,Ciencias Sociales y Humanidades,Matriculados,0
2023,UNA,Ciencias Sociales y Humanidades,Matriculados,12720
2023,UNE,Ciencias Sociales y Humanidades,Matriculados,3238
2023,UNI,Ciencias Sociales y Humanidades,Matriculados,2503
2023,UNP,Ciencias Sociales y Humanidades,Matriculados,4093
2023,UNC,Ciencias Sociales y Humanidades,Matriculados,1954
2023,UNVES,Ciencias Sociales y Humanidades,Matriculados,3737
2023,UNCA,Ciencias Sociales y Humanidades,Matriculados,2766
2023,UNICAN,Ciencias Sociales y Humanidades,Matriculados,2053
2023,UNAMIS,Ciencias Sociales y Humanidades,Matriculados,1681
2023,UPTP,Ciencias Sociales y Humanidades,Matriculados,0
2024,UNA,Ciencias Sociales y Humanidades,Matriculados,20866
2024,UNE,Ciencias Sociales y Humanidades,Matriculados,6067
2024,UNI,Ciencias Sociales y Humanidades,Matriculados,3692
2024,UNP,Ciencias Sociales y Humanidades,Matriculados,2299
2024,UNC,Ciencias Sociales y Humanidades,Matriculados,2166
2024,UNVES,Ciencias Sociales y Humanidades,Matriculados,3254
2024,UNCA,Ciencias Sociales y Humanidades,Matriculados,823
2024,UNICAN,Ciencias Sociales y Humanidades,Matriculados,906
2024,UNAMIS,Ciencias Sociales y Humanidades,Matriculados,210
2024,UPTP,Ciencias Sociales y Humanidades,Matriculados,0
2014,UNA,Ingeniería y Tecnología,Matriculados,12514
2014,UNE,Ingeniería y Tecnología,Matriculados,880
2014,UNI,Ingeniería y Tecnología,Matriculados,855
2014,UNP,Ingeniería y Tecnología,Matriculados,565
2014,UNC,Ingeniería y Tecnología,Matriculados,140
2014,UNVES,Ingeniería y Tecnología,Matriculados,626
2014,UNCA,Ingeniería y Tecnología,Matriculados,288
2014,UNICAN,Ingeniería y Tecnología,Matriculados,202
2014,UNAMIS,Ingeniería y Tecnología,Matriculados,0
2014,UPTP,Ingeniería y Tecnología,Matriculados,0
2015,UNA,Ingeniería y Tecnología,Matriculados,14120
2015,UNE,Ingeniería y Tecnología,Matriculados,751
2015,UNI,Ingeniería y Tecnología,Matriculados,907
2015,UNP,Ingeniería y Tecnología,Matriculados,525
2015,UNC,Ingeniería y Tecnología,Matriculados,370
2015,UNVES,Ingeniería y Tecnología,Matriculados,643
2015,UNCA,Ingeniería y Tecnología,Matriculados,370
2015,UNICAN,Ingeniería y Tecnología,Matriculados,215
2015,UNAMIS,Ingeniería y Tecnología,Matriculados,0
2015,UPTP,Ingeniería y Tecnología,Matriculados,250
2016,UNA,Ingeniería y Tecnología,Matriculados,18066
2016,UNE,Ingeniería y Tecnología,Matriculados,1874
2016,UNI,Ingeniería y Tecnología,Matriculados,1503
2016,UNP,Ingeniería y Tecnología,Matriculados,821
2016,UNC,Ingeniería y Tecnología,Matriculados,0
2016,UNVES,Ingeniería y Tecnología,Matriculados,406
2016,UNCA,Ingeniería y Tecnología,Matriculados,777
2016,UNICAN,Ingeniería y Tecnología,Matriculados,248
2016,UNAMIS,Ingeniería y Tecnología,Matriculados,47
2016,UPTP,Ingeniería y Tecnología,Matriculados,108
2017,UNA,Ingeniería y Tecnología,Matriculados,5097
2017,UNE,Ingeniería y Tecnología,Matriculados,1178
2017,UNI,Ingeniería y Tecnología,Matriculados,1258
2017,UNP,Ingeniería y Tecnología,Matriculados,1096
2017,UNC,Ingeniería y Tecnología,Matriculados,227
2017,UNVES,Ingeniería y Tecnología,Matriculados,385
2017,UNCA,Ingeniería y Tecnología,Matriculados,448
2017,UNICAN,Ingeniería y Tecnología,Matriculados,114
2017,UNAMIS,Ingeniería y Tecnología,Matriculados,0
2017,UPTP,Ingeniería y Tecnología,Matriculados,0
2018,UNA,Ingeniería y Tecnología,Matriculados,14120
2018,UNE,Ingeniería y Tecnología,Matriculados,751
2018,UNI,Ingeniería y Tecnología,Matriculados,907
2018,UNP,Ingeniería y Tecnología,Matriculados,525
2018,UNC,Ingeniería y Tecnología,Matriculados,370
2018,UNVES,Ingeniería y Tecnología,Matriculados,643
2018,UNCA,Ingeniería y Tecnología,Matriculados,370
2018,UNICAN,Ingeniería y Tecnología,Matriculados,215
2018,UNAMIS,Ingeniería y Tecnología,Matriculados,0
2018,UPTP,Ingeniería y Tecnología,Matriculados,250
2019,UNA,Ingeniería y Tecnología,Matriculados,13497
2019,UNE,Ingeniería y Tecnología,Matriculados,720
2019,UNI,Ingeniería y Tecnología,Matriculados,914
2019,UNP,Ingeniería y Tecnología,Matriculados,530
2019,UNC,Ingeniería y Tecnología,Matriculados,339
2019,UNVES,Ingeniería y Tecnología,Matriculados,637
2019,UNCA,Ingeniería y Tecnología,Matriculados,346
2019,UNICAN,Ingeniería y Tecnología,Matriculados,213
2019,UNAMIS,Ingeniería y Tecnología,Matriculados,0
2019,UPTP,Ingeniería y Tecnología,Matriculados,200
2020,UNA,Ingeniería y Tecnología,Matriculados,13936
2020,UNE,Ingeniería y Tecnología,Matriculados,720
2020,UNI,Ingeniería y Tecnología,Matriculados,936
2020,UNP,Ingeniería y Tecnología,Matriculados,530
2020,UNC,Ingeniería y Tecnología,Matriculados,339
2020,UNVES,Ingeniería y Tecnología,Matriculados,632
2020,UNCA,Ingeniería y Tecnología,Matriculados,344
2020,UNICAN,Ingeniería y Tecnología,Matriculados,211
2020,UNAMIS,Ingeniería y Tecnología,Matriculados,0
2020,UPTP,Ingeniería y Tecnología,Matriculados,355
2021,UNA,Ingeniería y Tecnología,Matriculados,11053
2021,UNE,Ingeniería y Tecnología,Matriculados,1857
2021,UNI,Ingeniería y Tecnología,Matriculados,1062
2021,UNP,Ingeniería y Tecnología,Matriculados,750
2021,UNC,Ingeniería y Tecnología,Matriculados,340
2021,UNVES,Ingeniería y Tecnología,Matriculados,748
2021,UNCA,Ingeniería y Tecnología,Matriculados,680
2021,UNICAN,Ingeniería y Tecnología,Matriculados,309
2021,UNAMIS,Ingeniería y Tecnología,Matriculados,0
2021,UPTP,Ingeniería y Tecnología,Matriculados,295
2022,UNA,Ingeniería y Tecnología,Matriculados,11233
2022,UNE,Ingeniería y Tecnología,Matriculados,1838
2022,UNI,Ingeniería y Tecnología,Matriculados,1940
2022,UNP,Ingeniería y Tecnología,Matriculados,1155
2022,UNC,Ingeniería y Tecnología,Matriculados,1638
2022,UNVES,Ingeniería y Tecnología,Matriculados,1944
2022,UNCA,Ingeniería y Tecnología,Matriculados,1309
2022,UNICAN,Ingeniería y Tecnología,Matriculados,1250
2022,UNAMIS,Ingeniería y Tecnología,Matriculados,0
2022,UPTP,Ingeniería y Tecnología,Matriculados,185
2023,UNA,Ingeniería y Tecnología,Matriculados,13905
2023,UNE,Ingeniería y Tecnología,Matriculados,4385
2023,UNI,Ingeniería y Tecnología,Matriculados,4673
2023,UNP,Ingeniería y Tecnología,Matriculados,1954
2023,UNC,Ingeniería y Tecnología,Matriculados,2308
2023,UNVES,Ingeniería y Tecnología,Matriculados,1678
2023,UNCA,Ingeniería y Tecnología,Matriculados,1257
2023,UNICAN,Ingeniería y Tecnología,Matriculados,794
2023,UNAMIS,Ingeniería y Tecnología,Matriculados,495
2023,UPTP,Ingeniería y Tecnología,Matriculados,258
2024,UNA,Ingeniería y Tecnología,Matriculados,10876
2024,UNE,Ingeniería y Tecnología,Matriculados,2121
2024,UNI,Ingeniería y Tecnología,Matriculados,1478
2024,UNP,Ingeniería y Tecnología,Matriculados,821
2024,UNC,Ingeniería y Tecnología,Matriculados,0
2024,UNVES,Ingeniería y Tecnología,Matriculados,406
2024,UNCA,Ingeniería y Tecnología,Matriculados,777
2024,UNICAN,Ingeniería y Tecnología,Matriculados,240
2024,UNAMIS,Ingeniería y Tecnología,Matriculados,47
2024,UPTP,Ingeniería y Tecnología,Matriculados,100
2014,UNA,Ciencias Exactas y Naturales,Matriculados,9837
2014,UNE,Ciencias Exactas y Naturales,Matriculados,998
2014,UNI,Ciencias Exactas y Naturales,Matriculados,359
2014,UNP,Ciencias Exactas y Naturales,Matriculados,592
2014,UNC,Ciencias Exactas y Naturales,Matriculados,522
2014,UNVES,Ciencias Exactas y Naturales,Matriculados,766
2014,UNCA,Ciencias Exactas y Naturales,Matriculados,1117
2014,UNICAN,Ciencias Exactas y Naturales,Matriculados,142
2014,UNAMIS,Ciencias Exactas y Naturales,Matriculados,0
2014,UPTP,Ciencias Exactas y Naturales,Matriculados,0
2015,UNA,Ciencias Exactas y Naturales,Matriculados,10038
2015,UNE,Ciencias Exactas y Naturales,Matriculados,1050
2015,UNI,Ciencias Exactas y Naturales,Matriculados,288
2015,UNP,Ciencias Exactas y Naturales,Matriculados,647
2015,UNC,Ciencias Exactas y Naturales,Matriculados,496
2015,UNVES,Ciencias Exactas y Naturales,Matriculados,741
2015,UNCA,Ciencias Exactas y Naturales,Matriculados,1159
2015,UNICAN,Ciencias Exactas y Naturales,Matriculados,240
2015,UNAMIS,Ciencias Exactas y Naturales,Matriculados,0
2015,UPTP,Ciencias Exactas y Naturales,Matriculados,0
2016,UNA,Ciencias Exactas y Naturales,Matriculados,13901
2016,UNE,Ciencias Exactas y Naturales,Matriculados,664
2016,UNI,Ciencias Exactas y Naturales,Matriculados,143
2016,UNP,Ciencias Exactas y Naturales,Matriculados,588
2016,UNC,Ciencias Exactas y Naturales,Matriculados,1165
2016,UNVES,Ciencias Exactas y Naturales,Matriculados,1009
2016,UNCA,Ciencias Exactas y Naturales,Matriculados,1258
2016,UNICAN,Ciencias Exactas y Naturales,Matriculados,274
2016,UNAMIS,Ciencias Exactas y Naturales,Matriculados,152
2016,UPTP,Ciencias Exactas y Naturales,Matriculados,0
2017,UNA,Ciencias Exactas y Naturales,Matriculados,4093
2017,UNE,Ciencias Exactas y Naturales,Matriculados,1192
2017,UNI,Ciencias Exactas y Naturales,Matriculados,1294
2017,UNP,Ciencias Exactas y Naturales,Matriculados,499
2017,UNC,Ciencias Exactas y Naturales,Matriculados,471
2017,UNVES,Ciencias Exactas y Naturales,Matriculados,240
2017,UNCA,Ciencias Exactas y Naturales,Matriculados,269
2017,UNICAN,Ciencias Exactas y Naturales,Matriculados,104
2017,UNAMIS,Ciencias Exactas y Naturales,Matriculados,0
2017,UPTP,Ciencias Exactas y Naturales,Matriculados,0
2018,UNA,Ciencias Exactas y Naturales,Matriculados,10038
2018,UNE,Ciencias Exactas y Naturales,Matriculados,1050
2018,UNI,Ciencias Exactas y Naturales,Matriculados,288
2018,UNP,Ciencias Exactas y Naturales,Matriculados,647
2018,UNC,Ciencias Exactas y Naturales,Matriculados,496
2018,UNVES,Ciencias Exactas y Naturales,Matriculados,741
2018,UNCA,Ciencias Exactas y Naturales,Matriculados,1159
2018,UNICAN,Ciencias Exactas y Naturales,Matriculados,240
2018,UNAMIS,Ciencias Exactas y Naturales,Matriculados,0
2018,UPTP,Ciencias Exactas y Naturales,Matriculados,0
2019,UNA,Ciencias Exactas y Naturales,Matriculados,9500
2019,UNE,Ciencias Exactas y Naturales,Matriculados,958
2019,UNI,Ciencias Exactas y Naturales,Matriculados,279
2019,UNP,Ciencias Exactas y Naturales,Matriculados,600
2019,UNC,Ciencias Exactas y Naturales,Matriculados,492
2019,UNVES,Ciencias Exactas y Naturales,Matriculados,683
2019,UNCA,Ciencias Exactas y Naturales,Matriculados,1155
2019,UNICAN,Ciencias Exactas y Naturales,Matriculados,227
2019,UNAMIS,Ciencias Exactas y Naturales,Matriculados,0
2019,UPTP,Ciencias Exactas y Naturales,Matriculados,0
2020,UNA,Ciencias Exactas y Naturales,Matriculados,9697
2020,UNE,Ciencias Exactas y Naturales,Matriculados,958
2020,UNI,Ciencias Exactas y Naturales,Matriculados,271
2020,UNP,Ciencias Exactas y Naturales,Matriculados,600
2020,UNC,Ciencias Exactas y Naturales,Matriculados,492
2020,UNVES,Ciencias Exactas y Naturales,Matriculados,705
2020,UNCA,Ciencias Exactas y Naturales,Matriculados,1226
2020,UNICAN,Ciencias Exactas y Naturales,Matriculados,220
2020,UNAMIS,Ciencias Exactas y Naturales,Matriculados,0
2020,UPTP,Ciencias Exactas y Naturales,Matriculados,0
2021,UNA,Ciencias Exactas y Naturales,Matriculados,9863
2021,UNE,Ciencias Exactas y Naturales,Matriculados,671
2021,UNI,Ciencias Exactas y Naturales,Matriculados,289
2021,UNP,Ciencias Exactas y Naturales,Matriculados,597
2021,UNC,Ciencias Exactas y Naturales,Matriculados,501
2021,UNVES,Ciencias Exactas y Naturales,Matriculados,1095
2021,UNCA,Ciencias Exactas y Naturales,Matriculados,1099
2021,UNICAN,Ciencias Exactas y Naturales,Matriculados,84
2021,UNAMIS,Ciencias Exactas y Naturales,Matriculados,0
2021,UPTP,Ciencias Exactas y Naturales,Matriculados,0
2022,UNA,Ciencias Exactas y Naturales,Matriculados,5234
2022,UNE,Ciencias Exactas y Naturales,Matriculados,3393
2022,UNI,Ciencias Exactas y Naturales,Matriculados,1488
2022,UNP,Ciencias Exactas y Naturales,Matriculados,1341
2022,UNC,Ciencias Exactas y Naturales,Matriculados,1050
2022,UNVES,Ciencias Exactas y Naturales,Matriculados,1889
2022,UNCA,Ciencias Exactas y Naturales,Matriculados,1250
2022,UNICAN,Ciencias Exactas y Naturales,Matriculados,1470
2022,UNAMIS,Ciencias Exactas y Naturales,Matriculados,0
2022,UPTP,Ciencias Exactas y Naturales,Matriculados,0
2023,UNA,Ciencias Exactas y Naturales,Matriculados,8875
2023,UNE,Ciencias Exactas y Naturales,Matriculados,1258
2023,UNI,Ciencias Exactas y Naturales,Matriculados,1637
2023,UNP,Ciencias Exactas y Naturales,Matriculados,1545
